,rank,maxIter,regParam,spark_fit_t,spark_pred_t,spark_precision,spark_recall,spark_RMSE,spark_R2,lk_precision,lk_recall,lk_RMSE,lk_R2,lk_fit_t,lk_pred_t
55,140.0,10.0,1e-05,36.180559396743774,0.060797214508056,0.8897861090622241,0.08800299249429701,0.9880942120751581,0.037511678857253004,0.9427056677205096,0.0943265039987494,0.8788072175299977,0.1985727534040113,45.47,5.796
56,140.0,10.0,0.0001,58.063177824020386,0.06129765510559,0.8892998163452711,0.07447117820019801,0.9433441687132301,0.122718247375294,0.9414831713118904,0.0985300530359506,0.8906052609752257,0.1769098855734765,42.215,5.851
57,160.0,10.0,0.01,80.45529365539551,0.09574007987976,0.935973959476263,0.063586155024385,0.8873814291481491,0.223718155409651,0.931735711393088,0.1068825334376357,1.0593860034258116,-0.1646229249080195,50.82,5.905
58,160.0,10.0,0.001,82.21849727630615,0.064047336578369,0.912084148727984,0.073200947238094,0.900420729000394,0.200736966778981,0.9488344082858852,0.080436004678455,0.8652415741325502,0.2231241329547908,52.751,5.861
59,160.0,10.0,1e-05,44.52183437347412,0.058239459991455,0.8995609265797331,0.089020909213671,0.9778234945696,0.057416802347,0.9459088819791248,0.0973559449807514,0.8764839780139535,0.2028045037036102,53.873,6.05
60,220.0,10.0,0.1,99.71908688545227,0.06360387802124,0.9230880230880231,0.046160485740638,0.8736445356690181,0.24756621496975,0.9578194556033892,0.07104461213,0.8541187152,0.2429695484,154.812,7.272
61,160.0,10.0,0.0001,45.16407537460327,0.059105396270751,0.9060959161566821,0.08355560215195501,0.9430266540703581,0.12330870615779001,0.9389864222447368,0.1011304361544822,0.8868157349054812,0.1838994816396052,53.104,6.137
62,180.0,10.0,0.001,67.8321886062622,0.07434296607971101,0.9303652230122811,0.072737160945821,0.8992850513603161,0.202751875351171,0.9511658343228238,0.0825155938410575,0.8655764680605359,0.2225226330537832,77.486,7.979
63,180.0,10.0,0.01,109.8278591632843,0.065192461013793,0.9325523088023081,0.062081078480595006,0.8870593442365701,0.224281573317053,0.9452253953000864,0.1125448556242538,0.9837968590895608,-0.0043561344993825,77.597,8.343
64,180.0,10.0,1e-05,67.14958071708679,0.055635690689086005,0.9139172053155321,0.08665770213210701,0.9664703407825611,0.07917771860627,0.9462557689735732,0.0997239519760836,0.8771398791794103,0.2016109231870276,105.079,8.44
65,180.0,10.0,0.0001,57.56498336791992,0.06273484230041501,0.9158943965517241,0.082884862730459,0.9333376329565981,0.141231091821079,0.941387128539398,0.1033179992693492,0.8848896101280403,0.1874407006465384,92.544,9.401
