,num_recs,n_trees,search_k,build_time,inference_time,MAP,precisionAt100,recallAt100,ndgcAt100,Custom Precision,Custom Recall
59,100,51,1000,0.6235413551330561,0.14512372016906702,0.000603330282649,0.006065573770491,0.009175152359294001,0.008966483125861001,0.8771236171236171,0.009828403908752
60,100,71,10,0.737062931060791,0.089194059371948,0.000387801526687,0.004655737704918001,0.0060222847530820005,0.007003053568116001,0.8482069370958261,0.005951594933059001
61,100,71,16,0.6828949451446531,0.08761882781982401,0.00038879430326400004,0.004918032786885,0.006022168614021,0.007123295433530001,0.8607638888888881,0.0059994404995520004
62,100,71,27,0.7034561634063721,0.08834815025329501,0.000387801526687,0.004655737704918001,0.0060222847530820005,0.007003053568116001,0.8482069370958261,0.005951594933059001
63,100,71,46,0.6292452812194821,0.08906388282775801,0.00039383185843600005,0.004786885245901,0.006117769110422001,0.007133169647904,0.8502645502645501,0.0060399147086800005
64,100,71,77,0.7048399448394771,0.09040808677673301,0.00043643649233700006,0.005475409836065001,0.006590682531863,0.007871187817086001,0.8854166666666661,0.0066232254955650004
65,100,71,129,0.6766307353973381,0.095398187637329,0.00043299303736400003,0.006065573770491,0.008404954652523,0.008431514737222,0.883239700374531,0.008305922773882
66,100,71,215,0.66672682762146,0.10253190994262601,0.000418961240548,0.005836065573770001,0.007632171867961001,0.008031445802436001,0.880540858318636,0.007488029166961001
67,100,71,359,0.6122918128967281,0.11657071113586401,0.000453263393832,0.005803278688524,0.008561440792035,0.008289132951873,0.8817717403924291,0.008040849948105
68,100,71,599,0.701129913330078,0.136105298995971,0.000573569638592,0.006557377049180001,0.010566611759952,0.009575423471831001,0.886657334211682,0.010383902660690001
69,100,71,1000,0.5013661384582521,0.155000209808349,0.000633761411094,0.006262295081967,0.008990900555877,0.009163873209197001,0.895492560008688,0.009759290248051
70,100,100,10,0.7635257244110101,0.09668421745300201,0.00047567630626,0.004688524590163,0.005591360299509,0.0070827350982460005,0.838744588744588,0.005463775925452
71,100,100,16,0.763412952423095,0.09974789619445801,0.00047881089032100006,0.004524590163934,0.005621738880950001,0.007086422605574001,0.8397435897435891,0.005502175369792001
